eco	name	fen	moves	whiteWins	blackWins	draws
E69	King's Indian Defense: Fianchetto Variation, Classical Main Line	r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N2NPP/PP3PB1/R1BQ1RK1 b - -	d2d4 g8f6 c2c4 g7g6 g1f3 f8g7 g2g3 e8g8 f1g2 d7d6 e1g1 b8d7 b1c3 e7e5 e2e4 c7c6 h2h3	105	50	75
E70	King's Indian Defense: Accelerated Averbakh Variation	rnbqk2r/ppp1ppbp/3p1np1/6B1/2PPP3/2N5/PP3PPP/R2QKBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 c1g5	449	326	263
E70	King's Indian Defense: Kramer Variation	rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP2NPPP/R1BQKB1R b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1e2	917	652	561
E70	King's Indian Defense: Normal Variation	rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6	38631	26248	26231
E70	King's Indian Defense: Normal Variation	rnbqk2r/ppppppbp/5np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4	41715	28913	28436
E71	King's Indian Defense: Makogonov Variation	rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N4P/PP3PP1/R1BQKBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 h2h3	2237	1205	1192
E72	King's Indian Defense: Normal Variation, Deferred Fianchetto	rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N3P1/PP3P1P/R1BQKBNR b KQkq -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g2g3	140	120	80
E72	King's Indian Defense: Pomar System	rnbq1rk1/ppp2pbp/3p1np1/4p3/2PPP3/2N3P1/PP2NPBP/R1BQK2R b KQ -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g2g3 e8g8 f1g2 e7e5 g1e2	35	19	19
E73	King's Indian Defense: Averbakh Variation, Flexible Defense	rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 h7h6	759	376	432
E73	King's Indian Defense: Averbakh Variation, Geller Defense	r1bq1rk1/pppnppbp/3p1np1/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ -	d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 f1e2 e8g8 c1g5 b8d7	546	289	296
