eco	name	fen	moves	whiteWins	blackWins	draws
D02	London System: Poisoned Pawn Variation	rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -	d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3	15	17	11
D02	Queen's Gambit Accepted: Rosenthal Variation	rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 e7e6 c2c4 d5c4	104	62	145
D02	Queen's Gambit Refused: Baltic Defense, Pseudo-Slav	rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 b1c3 c7c6	139	77	119
D02	Queen's Pawn Game: Anti-Torre	rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq -	g1f3 d7d5 d2d4 c8g4	96	57	33
D02	Queen's Pawn Game: Chandler Gambit	rnbqkbnr/pp2pppp/8/3p4/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq -	d2d4 d7d5 g1f3 c7c5 g2g3 c5d4 f1g2	8	14	8
D02	Queen's Pawn Game: Chigorin Variation	r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 b8c6	1553	839	813
D02	Queen's Pawn Game: Krause Variation	rnbqkbnr/pp2pppp/8/2pp4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 c7c5	1037	923	975
D02	Queen's Pawn Game: Levitsky Attack, Euwe Variation, Modern Line	rnb1kbnr/pp2ppp1/1qp4p/3p4/3P3B/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 c7c6 c1g5 h7h6 g5h4 d8b6	22	14	14
D02	Queen's Pawn Game: London System	rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 c1f4	2420	2181	2203
D02	Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 g2g3	1529	1243	1341
D02	Queen's Pawn Game: Symmetrical Variation	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6	21017	14796	18426
D02	Queen's Pawn Game: Zilbermints Countergambit	rnbqkb1r/p1p1pppp/5n2/1p1p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c2c4 b7b5	0	0	0
D02	Queen's Pawn Game: Zukertort Variation	rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -	d2d4 d7d5 g1f3	30587	21634	25845
D03	Queen's Pawn Game: Torre Attack, Gossip Variation	rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5 f6e4	310	404	338
D03	Queen's Pawn Game: Torre Attack, Grünfeld Variation	rnbqkb1r/ppp1pp1p/5np1/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5 g7g6	18	23	12
D03	Queen's Pawn Game: Torre Attack	rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5	1088	923	932
D04	Queen's Pawn Game: Colle System, Anti-Colle	rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 e2e3 c8f5	474	455	441
